aoi_id,grid_i,grid_j,grid_proj,grid_size,target_catid,context_catids,set,t0_pan,t0_ps,t0_ms,t-1_pan,t-1_ps,t-1_ms,t-2_pan,t-2_ps,t-2_ms,t-3_pan,t-3_ps,t-3_ms
8646,39019,-7217,epsg:3395,437,10500100017E6600,"[""1030010048653D00"", ""1030010048D7D700"", ""10300100479FCB00""]",train,./images/10500100017E6600_i39019_j-7217_t0_pan.tif,./images/10500100017E6600_i39019_j-7217_t0_ps.tif,,./images/1030010048653D00_i39019_j-7217_t-1_pan.tif,./images/1030010048653D00_i39019_j-7217_t-1_ps.tif,,./images/1030010048D7D700_i39019_j-7217_t-2_pan.tif,./images/1030010048D7D700_i39019_j-7217_t-2_ps.tif,,./images/10300100479FCB00_i39019_j-7217_t-3_pan.tif,./images/10300100479FCB00_i39019_j-7217_t-3_ps.tif,
1395,769,14926,epsg:3395,437,10504100128F7800,"[""10504100125CFB00"", ""105041001258D600"", ""1030050037F95A00""]",train,./images/10504100128F7800_i769_j14926_t0_pan.tif,./images/10504100128F7800_i769_j14926_t0_ps.tif,,./images/10504100125CFB00_i769_j14926_t-1_pan.tif,./images/10504100125CFB00_i769_j14926_t-1_ps.tif,,./images/105041001258D600_i769_j14926_t-2_pan.tif,./images/105041001258D600_i769_j14926_t-2_ps.tif,,./images/1030050037F95A00_i769_j14926_t-3_pan.tif,./images/1030050037F95A00_i769_j14926_t-3_ps.tif,
3448,-19566,10715,epsg:3395,437,105001001531D400,"[""103001008B63C200"", ""1050010011CD1D00"", ""1030010079C92300""]",train,./images/105001001531D400_i-19566_j10715_t0_pan.tif,./images/105001001531D400_i-19566_j10715_t0_ps.tif,,./images/103001008B63C200_i-19566_j10715_t-1_pan.tif,./images/103001008B63C200_i-19566_j10715_t-1_ps.tif,,./images/1050010011CD1D00_i-19566_j10715_t-2_pan.tif,./images/1050010011CD1D00_i-19566_j10715_t-2_ps.tif,,./images/1030010079C92300_i-19566_j10715_t-3_pan.tif,./images/1030010079C92300_i-19566_j10715_t-3_ps.tif,
7738,35385,10189,epsg:3395,437,10500100072BEC00,"[""10300100431CD500"", ""10300100436BDA00"", ""103001003A8A8900""]",train,./images/10500100072BEC00_i35385_j10189_t0_pan.tif,./images/10500100072BEC00_i35385_j10189_t0_ps.tif,,./images/10300100431CD500_i35385_j10189_t-1_pan.tif,./images/10300100431CD500_i35385_j10189_t-1_ps.tif,,./images/10300100436BDA00_i35385_j10189_t-2_pan.tif,./images/10300100436BDA00_i35385_j10189_t-2_ps.tif,,./images/103001003A8A8900_i35385_j10189_t-3_pan.tif,./images/103001003A8A8900_i35385_j10189_t-3_ps.tif,
515,3400,15727,epsg:3395,437,1050010002B1F700,"[""1050010001D14600"", ""1050010001D14500"", ""1030010048B64000""]",train,./images/1050010002B1F700_i3400_j15727_t0_pan.tif,./images/1050010002B1F700_i3400_j15727_t0_ps.tif,,./images/1050010001D14600_i3400_j15727_t-1_pan.tif,./images/1050010001D14600_i3400_j15727_t-1_ps.tif,,./images/1050010001D14500_i3400_j15727_t-2_pan.tif,./images/1050010001D14500_i3400_j15727_t-2_ps.tif,,./images/1030010048B64000_i3400_j15727_t-3_pan.tif,./images/1030010048B64000_i3400_j15727_t-3_ps.tif,
3151,18623,9074,epsg:3395,437,10504100103C7700,"[""103001002DD14100"", ""103001002C0F0000"", ""1030010027D78700""]",train,./images/10504100103C7700_i18623_j9074_t0_pan.tif,./images/10504100103C7700_i18623_j9074_t0_ps.tif,,./images/103001002DD14100_i18623_j9074_t-1_pan.tif,./images/103001002DD14100_i18623_j9074_t-1_ps.tif,,./images/103001002C0F0000_i18623_j9074_t-2_pan.tif,./images/103001002C0F0000_i18623_j9074_t-2_ps.tif,,./images/1030010027D78700_i18623_j9074_t-3_pan.tif,./images/1030010027D78700_i18623_j9074_t-3_ps.tif,
1229,-478,15667,epsg:3395,437,1050010007D4FD00,"[""1050010007D4FB00"", ""1050010007AC8200"", ""1050010007AC8100""]",train,./images/1050010007D4FD00_i-478_j15667_t0_pan.tif,./images/1050010007D4FD00_i-478_j15667_t0_ps.tif,,./images/1050010007D4FB00_i-478_j15667_t-1_pan.tif,./images/1050010007D4FB00_i-478_j15667_t-1_ps.tif,,./images/1050010007AC8200_i-478_j15667_t-2_pan.tif,./images/1050010007AC8200_i-478_j15667_t-2_ps.tif,,./images/1050010007AC8100_i-478_j15667_t-3_pan.tif,./images/1050010007AC8100_i-478_j15667_t-3_ps.tif,
544,-29620,12320,epsg:3395,437,10500100133B7100,"[""10500100133B7000"", ""10500100133B6F00"", ""10500100133B6E00""]",train,./images/10500100133B7100_i-29620_j12320_t0_pan.tif,./images/10500100133B7100_i-29620_j12320_t0_ps.tif,,./images/10500100133B7000_i-29620_j12320_t-1_pan.tif,./images/10500100133B7000_i-29620_j12320_t-1_ps.tif,,./images/10500100133B6F00_i-29620_j12320_t-2_pan.tif,./images/10500100133B6F00_i-29620_j12320_t-2_ps.tif,,./images/10500100133B6E00_i-29620_j12320_t-3_pan.tif,./images/10500100133B6E00_i-29620_j12320_t-3_ps.tif,
9272,32344,10246,epsg:3395,437,1050010010A55C00,"[""1050010010A55A00"", ""103001007E9AB700"", ""103001007B177E00""]",train,./images/1050010010A55C00_i32344_j10246_t0_pan.tif,./images/1050010010A55C00_i32344_j10246_t0_ps.tif,,./images/1050010010A55A00_i32344_j10246_t-1_pan.tif,./images/1050010010A55A00_i32344_j10246_t-1_ps.tif,,./images/103001007E9AB700_i32344_j10246_t-2_pan.tif,./images/103001007E9AB700_i32344_j10246_t-2_ps.tif,,./images/103001007B177E00_i32344_j10246_t-3_pan.tif,./images/103001007B177E00_i32344_j10246_t-3_ps.tif,
6866,34988,9408,epsg:3395,437,1050410012107100,"[""103001003139A200"", ""10500C0010182300"", ""1030010020928F00""]",train,./images/1050410012107100_i34988_j9408_t0_pan.tif,./images/1050410012107100_i34988_j9408_t0_ps.tif,,./images/103001003139A200_i34988_j9408_t-1_pan.tif,./images/103001003139A200_i34988_j9408_t-1_ps.tif,,./images/10500C0010182300_i34988_j9408_t-2_pan.tif,./images/10500C0010182300_i34988_j9408_t-2_ps.tif,,./images/1030010020928F00_i34988_j9408_t-3_pan.tif,./images/1030010020928F00_i34988_j9408_t-3_ps.tif,
